id,league,season,game_start,game_end,game_duration,game_Year,status_clock,status_halftime,status_short,status_long,period_current,period_total,period_endOfPeriod,arena_name,arena_city,arena_state,arena_country,visitor_id,home_id,visitor_score_win,visitor_score_loss,visitor_score_series,visitor_score_linescore,visitor_score_points,home_score_win,home_score_loss,home_score_series,home_score_linescore,home_score_points
12478,standard,2023,2023-10-07T16:00:00.000Z,,,2023,,False,3,Finished,0,4,False,Etihad Arena,Abu Dhabi,,,22,8,0.0,0.0,"{'win': 0, 'loss': 0}","['29', '24', '28', '23']",104.0,0.0,0.0,"{'win': 0, 'loss': 0}","['20', '23', '27', '26']",96.0
12545,standard,2023,2023-10-21T00:00:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,10,8,0.0,0.0,"{'win': 0, 'loss': 0}","['27', '25', '18', '34']",104.0,0.0,0.0,"{'win': 0, 'loss': 0}","['40', '19', '32', '23']",114.0
12561,standard,2023,2023-10-26T01:30:00.000Z,,,2023,,False,3,Finished,4,4,False,Frost Bank Center,San Antonio,TX,,8,31,0.0,0.0,"{'win': 0, 'loss': 0}","['36', '28', '32', '30']",126.0,0.0,0.0,"{'win': 0, 'loss': 0}","['43', '25', '23', '28']",119.0
12572,standard,2023,2023-10-28T00:30:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,4,8,0.0,0.0,"{'win': 0, 'loss': 0}","['25', '34', '30', '31']",120.0,0.0,0.0,"{'win': 0, 'loss': 0}","['26', '31', '31', '37']",125.0
12594,standard,2023,2023-10-31T00:00:00.000Z,,,2023,,False,3,Finished,4,4,False,FedExForum,Memphis,TN,,8,19,0.0,0.0,"{'win': 0, 'loss': 0}","['30', '37', '30', '28']",125.0,0.0,0.0,"{'win': 0, 'loss': 0}","['36', '25', '25', '24']",110.0
12612,standard,2023,2023-11-02T00:30:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,6,8,0.0,0.0,"{'win': 0, 'loss': 0}","['23', '27', '33', '22']",105.0,0.0,0.0,"{'win': 0, 'loss': 0}","['26', '23', '32', '33']",114.0
12625,standard,2023,2023-11-04T02:00:00.000Z,,,2023,,False,3,Finished,4,4,False,Ball Arena,Denver,CO,,8,9,0.0,0.0,"{'win': 0, 'loss': 0}","['24', '31', '32', '27']",114.0,0.0,0.0,"{'win': 0, 'loss': 0}","['40', '30', '32', '23']",125.0
12638,standard,2023,2023-11-06T00:30:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,5,8,0.0,0.0,"{'win': 0, 'loss': 0}","['31', '31', '22', '34']",118.0,0.0,0.0,"{'win': 0, 'loss': 0}","['26', '24', '33', '41']",124.0
12642,standard,2023,2023-11-07T00:00:00.000Z,,,2023,,False,3,Finished,4,4,False,Amway Center,Orlando,FL,,8,26,0.0,0.0,"{'win': 0, 'loss': 0}","['27', '26', '33', '31']",117.0,0.0,0.0,"{'win': 0, 'loss': 0}","['33', '33', '17', '19']",102.0
12663,standard,2023,2023-11-09T01:30:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,38,8,0.0,0.0,"{'win': 0, 'loss': 0}","['27', '35', '37', '28']",127.0,0.0,0.0,"{'win': 0, 'loss': 0}","['33', '25', '30', '28']",116.0
12674,standard,2023,2023-11-11T01:30:00.000Z,,,2023,,False,3,Finished,4,4,False,American Airlines Center,Dallas,TX,,16,8,0.0,0.0,"{'win': 0, 'loss': 0}","['33', '18', '38', '37']",126.0,0.0,0.0,"{'win': 0, 'loss': 0}","['30', '47', '38', '29']",144.0
12687,standard,2023,2023-11-13T00:00:00.000Z,,,2023,,False,3,Finished,4,4,False,Smoothie King Center,New Orleans,LA,,8,23,0.0,0.0,"{'win': 0, 'loss': 0}","['34', '33', '42', '27']",136.0,0.0,0.0,"{'win': 0, 'loss': 0}","['27', '27', '31', '39']",124.0
