id,firstname,lastname,college,affiliation,team_id,season,birth_date,birth_country,nba_start,nba_pro,height_feets,height_inches,height_meters,weight_pounds,weight_kilograms,jersey,active,pos
382,Dejounte,Murray,Washington,Washington/USA,1,2023,1996-09-19,USA,2016,4,6,4,1.93,180,81.6,5.0,True,G
1858,Bruno,Fernando,Maryland,Maryland/Angola,1,2023,1998-08-15,Angola,2019,2,6,9,2.06,240,108.9,20.0,True,F-C
1046,Trae,Young,Oklahoma,Oklahoma/USA,1,2023,1998-09-19,USA,2018,3,6,1,1.85,164,74.4,11.0,True,G
1868,De'Andre,Hunter,Virginia,Virginia/USA,1,2023,1997-12-02,USA,2019,2,6,8,2.03,221,100.2,12.0,True,F-G
2327,Garrison,Mathews,,,1,2023,,,0,0,,,,,,25.0,True,G
2629,Onyeka,Okongwu,Southern California,Southern California/USA,1,2023,2000-12-11,USA,2020,1,6,8,2.03,240,108.9,17.0,True,F-C
2569,Saddiq,Bey,Villanova,Villanova/USA,1,2023,1999-04-09,USA,2020,1,6,7,2.01,215,97.5,41.0,True,F
2589,Trent,Forrest,Florida State,Florida State/USA,1,2023,1998-06-12,USA,2020,1,6,4,1.93,210,95.3,3.0,True,G
2819,Jalen,Johnson,Duke,Duke/USA,1,2023,2001-12-18,USA,2021,0,6,8,2.03,219,99.3,1.0,True,F
3444,AJ,Griffin,,,1,2023,,,0,0,,,,,,14.0,True,F
3938,Kobe,Bufkin,Michigan,,1,2023,,,0,0,6,,,195,,,True,G
3939,Mouhamed,Gueye,Washington State,,1,2023,,,0,0,6,,,210,,,True,F
3941,Seth,Lundy,Penn State,,1,2023,,,0,0,6,,,220,,,True,G
3942,Miles,Norris,UC Santa Barbara,,1,2023,,,0,0,6,,,220,,,True,F
365,Patty,Mills,St. Mary's,St. Mary's/Australia,1,2023,1988-08-11,Australia,2009,12,6,0,1.83,180,81.6,8.0,True,G
341,Wesley,Matthews,Marquette,Marquette/USA,1,2023,1986-10-14,USA,2009,12,6,4,1.93,220,99.8,23.0,True,G
92,Clint,Capela,Elan Chalon,Elan Chalon/Switzerland,1,2023,1994-05-18,Switzerland,2014,7,6,10,2.08,256,116.1,15.0,True,C
743,Bogdan,Bogdanovic,Fenerbahce,Fenerbahce/Serbia,1,2023,1992-08-18,Serbia,2017,4,6,6,1.98,225,102.1,13.0,True,G
75,Jaylen,Brown,California,California/USA,2,2023,1996-10-24,USA,2016,5,6,6,1.98,223,101.2,7.0,True,G-F
882,Jayson,Tatum,Duke,Duke/USA,2,2023,1998-03-03,USA,2017,4,6,8,2.03,210,95.3,,True,F-G
897,Derrick,White,Colorado,Colorado/USA,2,2023,1994-07-02,USA,2017,4,6,4,1.93,190,86.2,9.0,True,G
819,Luke,Kornet,Vanderbilt,Vanderbilt/USA,2,2023,1995-07-15,USA,2017,4,7,2,2.18,250,113.4,40.0,True,C-F
1006,Svi,Mykhailiuk,Kansas,Kansas/Ukraine,2,2023,1997-06-10,Ukraine,2018,3,6,7,2.01,205,93.0,17.0,True,G-F
2110,Oshae,Brissett,Syracuse,Syracuse/Canada,2,2023,1998-06-20,Canada,2019,2,6,7,2.01,210,95.3,12.0,True,F-G
970,Wenyen,Gabriel,Kentucky,Kentucky/South Sudan,2,2023,1997-03-26,South Sudan,2019,2,6,9,2.06,205,93.0,35.0,True,F
2844,Neemias,Queta,Utah State,Utah State/Portugal,2,2023,1999-07-13,Portugal,2021,0,7,0,2.13,248,112.5,88.0,True,C
