player_id,game_id,team_id,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
1901,12478,8,6,PF,20,2,7,28.6,0,0,0,2,7,28.6,0,4,4,3,3,0,0,0,-3,
1845,12478,22,6,SG,16,2,6,33.3,0,0,0,2,4,50.0,0,2,2,0,3,1,0,1,-3,
2584,12478,22,13,SG,17,4,9,44.4,3,4,75.0,2,3,66.7,0,2,2,3,1,0,1,1,+3,
3195,12478,22,0,F,11,0,6,0,0,0,0,0,2,0,1,1,2,2,2,0,2,0,-6,
2608,12478,22,4,F,7,1,1,100.0,1,2,50.0,1,1,100.0,0,2,2,1,0,0,0,0,-3,
3470,12478,22,4,F,17,2,4,50.0,0,0,0,0,0,0,3,1,4,1,3,0,0,0,-6,
18,12478,22,2,SF,17,1,4,25.0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,+12,
945,12478,22,2,SF,14,1,4,25.0,0,0,0,0,2,0,1,2,3,0,2,1,0,0,+11,
2807,12478,22,7,C,9,3,7,42.9,0,0,0,1,3,33.3,3,2,5,1,1,0,0,0,-8,
2146,12478,22,14,C,16,6,8,75.0,0,0,0,2,2,100.0,1,2,3,1,1,1,2,0,+9,
997,12478,22,3,PG,12,1,3,33.3,0,0,0,1,3,33.3,0,2,2,4,1,1,1,0,-3,
1001,12478,22,4,SG,15,2,3,66.7,0,0,0,0,0,0,0,1,1,3,1,0,1,1,+14,
3154,12478,22,0,SG,6,0,2,0,0,0,0,0,1,0,0,3,3,1,0,0,1,0,+3,
3465,12478,22,4,G,4,2,3,66.7,0,0,0,0,0,0,3,1,4,1,0,0,0,0,+5,
3456,12478,22,0,G,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,
3474,12478,22,6,G,17,2,7,28.6,1,2,50.0,1,2,50.0,0,2,2,1,2,1,1,1,0,
114,12478,22,4,PG,7,1,1,100.0,1,1,100.0,1,1,100.0,0,2,2,1,0,0,1,0,+5,
519,12478,22,14,C,18,4,9,44.4,5,5,100.0,1,3,33.3,0,3,3,2,3,2,2,1,+2,
4001,12478,22,10,F,14,4,8,50.0,0,0,0,2,3,66.7,1,0,1,1,3,2,4,1,-1,
3959,12478,8,5,G,14,2,7,28.6,0,0,0,1,3,33.3,0,1,1,0,1,0,0,1,+4,
192,12478,22,7,C,17,3,3,100.0,1,2,50.0,0,0,0,0,5,5,0,0,0,0,1,+16,
963,12478,8,18,PG,19,5,12,41.7,6,7,85.7,2,7,28.6,1,4,5,6,0,2,4,0,-1,
2593,12478,8,6,SG,22,2,6,33.3,0,1,0,2,3,66.7,1,2,3,0,1,1,2,0,+1,
3407,12478,8,22,G,23,9,21,42.9,0,0,0,4,10,40.0,2,6,8,2,1,1,6,0,-13,
817,12478,8,2,PF,14,1,1,100.0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,-11,
2795,12478,8,4,PF,7,2,5,40.0,0,1,0,0,1,0,2,1,3,0,0,0,0,0,+3,
246,12478,8,0,F,7,0,3,0,0,0,0,0,0,0,1,2,3,0,2,0,0,0,-6,
3960,12478,8,5,F,20,2,10,20.0,1,2,50.0,0,5,0,3,3,6,1,0,0,0,0,-4,
4044,12478,8,2,C,23,1,2,50.0,0,0,0,0,0,0,2,2,4,0,3,1,3,3,-14,
283,12478,8,3,SF,10,1,3,33.3,1,1,100.0,0,1,0,0,1,1,0,0,1,0,1,-2,
2862,12478,8,0,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,
433,12478,8,2,C,7,0,0,0,2,2,100.0,0,0,0,0,2,2,0,2,0,0,0,+11,
3961,12478,8,6,SG,8,2,3,66.7,1,2,50.0,1,2,50.0,1,0,1,2,1,0,1,0,+6,
