game_id,team_id,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
12478,8,,,,,,,96,35,94,37.2,12,17,70.6,14,46,30.4,15,36,51,19,15,8,23,6,-8,240:00
12478,22,,,,,,,104,39,90,70.6,12,16,75.0,14,31,45.2,13,33,46,25,23,9,20,8,8,240:00
12545,8,,,,,,,114,39,91,42.9,19,23,82.6,17,40,42.5,8,42,50,30,13,8,13,8,10,240:00
12545,10,,,,,,,104,42,102,82.6,9,16,56.3,11,35,31.4,16,42,58,29,20,5,15,6,-10,240:00
12561,31,,,,,,,119,46,89,51.7,16,22,72.7,11,35,31.4,9,36,45,33,23,8,19,5,-7,240:00
12561,8,,,,,,,126,47,99,72.7,17,23,73.9,15,47,31.9,13,35,48,24,20,6,12,3,7,240:00
12572,8,,,,,,,125,44,91,48.4,22,28,78.6,15,36,41.7,8,32,40,20,15,5,9,2,5,240:00
12572,4,,,,,,,120,45,92,78.6,9,10,90.0,21,43,48.8,10,37,47,30,28,5,16,4,-5,240:00
12594,8,,,,,,,125,42,84,60.0,18,24,75.0,23,47,48.9,6,42,48,24,17,4,15,7,15,240:00
12594,19,,,,,,,110,42,92,45.7,12,20,60.0,14,37,37.8,10,34,44,22,22,9,12,4,-15,240:00
12612,8,,,,,,,114,37,81,45.7,20,28,71.4,20,48,41.7,13,32,45,23,11,7,15,2,9,240:00
12612,6,,,,,,,105,42,89,71.4,10,11,90.9,11,33,33.3,12,31,43,19,23,10,13,3,-9,240:00
12625,9,,,,,,,125,49,93,52.7,14,19,73.7,13,30,43.3,19,32,51,33,17,11,20,6,11,240:00
12625,8,,,,,,,114,41,86,73.7,15,17,88.2,17,42,40.5,10,24,34,27,19,12,15,6,-11,240:00
12638,8,,,,,,,124,43,91,47.3,24,32,75.0,14,42,33.3,9,38,47,31,19,3,11,6,6,240:00
12638,5,,,,,,,118,49,99,75.0,12,21,57.1,8,30,26.7,10,33,43,30,25,5,9,2,-6,240:00
12642,8,,,,,,,117,41,82,77.8,20,28,71.4,15,40,37.5,5,26,31,21,20,9,15,6,15,240:00
12642,26,,,,,,,102,40,85,47.1,14,18,77.8,8,27,29.6,6,32,38,27,24,6,21,4,-15,240:00
12663,8,,,,,,,116,40,84,47.6,19,31,61.3,17,41,41.5,6,32,38,25,21,4,16,6,-11,240:00
12663,38,,,,,,,127,49,99,61.3,18,27,66.7,11,36,30.6,15,35,50,27,25,10,12,4,11,240:00
12674,8,,,,,,,144,51,98,52.0,23,26,88.5,19,42,45.2,15,26,41,30,23,7,9,1,18,240:00
12674,16,,,,,,,126,43,88,88.5,32,36,88.9,8,27,29.6,19,28,47,21,27,7,14,2,-18,240:00
12687,23,,,,,,,124,47,92,51.1,13,22,59.1,17,36,47.2,13,41,54,31,20,2,18,3,-12,240:00
12687,8,,,,,,,136,50,102,59.1,16,21,76.2,20,53,37.7,8,34,42,29,19,7,6,6,12,240:00
12701,23,,,,,,,131,49,94,52.1,19,26,73.1,14,38,36.8,12,30,42,33,20,17,13,6,21,240:00
12701,8,,,,,,,110,38,90,73.1,20,26,76.9,14,42,33.3,16,29,45,25,16,4,20,3,-21,240:00
12706,41,,,,,,,117,43,89,48.3,19,23,82.6,12,36,33.3,8,38,46,23,22,6,12,1,-13,240:00
12706,8,,,,,,,130,48,92,82.6,17,29,58.6,17,42,40.5,9,37,46,32,16,6,10,4,13,240:00
12730,21,,,,,,,132,49,94,52.1,17,20,85.0,17,45,37.8,5,36,41,29,16,8,7,3,7,240:00
12730,8,,,,,,,125,51,103,85.0,7,10,70.0,16,47,34.0,11,38,49,27,16,1,12,2,-7,240:00
12737,8,,,,,,,113,41,88,46.6,19,26,73.1,12,34,35.3,11,29,40,23,15,8,10,2,-16,240:00
12737,30,,,,,,,129,48,90,73.1,16,21,76.2,17,40,42.5,14,34,48,34,20,9,13,3,16,240:00
12768,17,,,,,,,101,39,84,46.4,12,19,63.2,11,29,37.9,9,42,51,26,17,1,13,2,-3,240:00
12768,8,,,,,,,104,38,96,63.2,12,16,75.0,16,50,32.0,11,37,48,21,18,5,4,4,3,240:00
12784,8,,,,,,,88,34,91,74.2,11,14,78.6,9,38,23.7,10,27,37,17,24,6,9,5,-19,240:00
